Fiscal Year,Scope,Source,CO2 (kg),CO2 (MTCDE),CH4 (kg),CH4 (MTCDE),N2O (kg),N2O (MTCDE),GHG MTCDE
2015,1,Co-gen Electricity,"255,104",255.1,25,0.71,1,0.14,255.95
2015,1,Co-gen Steam,"12,500,280","12,500.28","1,246",34.9,25,6.64,"12,541.81"
2015,1,Other On-Campus Stationary,"225,634",225.63,34,0.96,2,0.55,227.14
2015,1,Direct Transportation,"994,127",994.13,33,0.92,24,6.29,"1,001.33"
2015,1,Fertilizer & Animals,0,0,0,0,209,55.48,55.48
2015,2,Purchased Electricity,"15,035,664","15,035.66","1,621",45.4,236,62.49,"15,143.55"
2015,3,Faculty Commuting,"310,963",310.96,17,0.47,12,3.16,314.59
2015,3,Staff Commuting,"633,752",633.75,34,0.95,24,6.44,641.15
2015,3,Directly Financed Air Travel,"8,528,781","8,528.78",0,0,97,25.75,"8,554.53"
2015,3,Other Directly Financed Travel,288,0.29,0,0,0,0,0.29
2015,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2015,3,FERA,"1,671,645","1,671.65","126,967","3,555.07",17,4.53,"5,231.24"
2015,3,T&D Losses,"756,442",756.44,82,2.28,12,3.14,761.87
2016,1,Co-gen Electricity,"230,027",230.03,23,0.64,0,0.12,230.79
2016,1,Co-gen Steam,"12,167,103","12,167.10","1,213",33.97,24,6.46,"12,207.53"
2016,1,Other On-Campus Stationary,"70,433",70.43,11,0.31,1,0.18,70.93
2016,1,Direct Transportation,"816,106",816.11,30,0.85,20,5.32,822.27
2016,1,Fertilizer & Animals,0,0,0,0,91,24.15,24.15
2016,2,Purchased Electricity,"10,463,356","10,463.36",980,27.44,145,38.32,"10,529.12"
2016,3,Faculty Commuting,"305,885",305.89,17,0.47,11,2.87,309.22
2016,3,Staff Commuting,"664,133",664.13,36,1.02,24,6.23,671.38
2016,3,Directly Financed Air Travel,"8,132,155","8,132.16",0,0,93,24.55,"8,156.71"
2016,3,Other Directly Financed Travel,82,0.08,0,0,0,0,0.08
2016,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2016,3,FERA,"1,584,361","1,584.36","123,401","3,455.22",17,4.4,"5,043.98"
2016,3,T&D Losses,"462,149",462.15,43,1.21,6,1.69,465.05
2017,1,Co-gen Electricity,"208,836",208.84,21,0.58,0,0.11,209.53
2017,1,Co-gen Steam,"13,337,130","13,337.13","1,330",37.23,27,7.08,"13,381.44"
2017,1,Other On-Campus Stationary,"111,850",111.85,18,0.5,1,0.28,112.63
2017,1,Direct Transportation,"1,148,365","1,148.36",41,1.15,27,7.2,"1,156.71"
2017,1,Fertilizer & Animals,0,0,0,0,199,52.6,52.6
2017,2,Purchased Electricity,"10,637,645","10,637.64",996,27.9,147,38.96,"10,704.51"
2017,3,Faculty Commuting,"291,801",291.8,16,0.45,10,2.73,294.98
2017,3,Staff Commuting,"637,206",637.21,35,0.97,23,5.97,644.15
2017,3,Directly Financed Air Travel,"7,700,379","7,700.38",0,0,88,23.25,"7,723.63"
2017,3,Other Directly Financed Travel,325,0.33,0,0,0,0,0.33
2017,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2017,3,FERA,"1,735,852","1,735.85","134,836","3,775.41",18,4.81,"5,516.07"
2017,3,T&D Losses,"469,847",469.85,44,1.23,6,1.72,472.8
2018,1,Co-gen Electricity,"139,929",139.93,14,0.39,0,0.07,140.39
2018,1,Co-gen Steam,"12,995,613","12,995.61","1,296",36.28,26,6.9,"13,038.79"
2018,1,Other On-Campus Stationary,"495,985",495.99,57,1.59,2,0.49,498.07
2018,1,Direct Transportation,"856,263",856.26,35,0.99,23,6.14,863.39
2018,1,Fertilizer & Animals,0,0,42,1.17,34,9.03,10.19
2018,2,Purchased Electricity,"10,142,227","10,142.23","1,016",28.44,143,37.85,"10,208.52"
2018,3,Faculty Commuting,"322,992",322.99,18,0.49,11,3.03,326.51
2018,3,Staff Commuting,"811,345",811.35,44,1.24,29,7.6,820.19
2018,3,Directly Financed Air Travel,"9,007,794","9,007.79",0,0,103,27.31,"9,035.11"
2018,3,Other Directly Financed Travel,481,0.48,0,0,0,0,0.48
2018,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2018,3,FERA,"1,719,504","1,719.50","134,616","3,769.24",18,4.8,"5,493.54"
2018,3,T&D Losses,"511,870",511.87,51,1.44,7,1.91,515.22
2019,1,Co-gen Electricity,"247,442",247.44,25,0.69,1,0.13,248.26
2019,1,Co-gen Steam,"13,855,348","13,855.35","1,381",38.68,28,7.36,"13,901.38"
