Fiscal Year,Scope,Source,CO2 (MTCDE),source_level
2015,1,Co-gen Plant,12755.38,1
2015,1,University Fleet,994.13,1
2015,1,Fertilizer,0.0,0
2015,1,Gas Heating,225.63,0
2015,2,Electricity,15035.66,1
2015,3,Commuting,944.71,1
2015,3,Air Travel,8528.78,1
2015,3,FERA,1671.65,1
2015,3,Bus Travel,0.29,0
2015,3,Solid Waste,0.0,0
2015,3,T&D Losses,756.44,0
2016,1,Co-gen Plant,12397.13,1
2016,1,University Fleet,816.11,1
2016,1,Fertilizer,0.0,0
2016,1,Gas Heating,70.43,0
2016,2,Electricity,10463.36,1
2016,3,Commuting,970.02,1
2016,3,Air Travel,8132.16,1
2016,3,FERA,1584.36,1
2016,3,Bus Travel,0.08,0
2016,3,Solid Waste,0.0,0
2016,3,T&D Losses,462.15,0
2017,1,Co-gen Plant,13545.97,1
2017,1,University Fleet,1148.36,1
2017,1,Fertilizer,0.0,0
2017,1,Gas Heating,111.85,0
2017,2,Electricity,10637.64,1
2017,3,Commuting,929.01,1
2017,3,Air Travel,7700.38,1
2017,3,FERA,1735.85,1
2017,3,Bus Travel,0.33,0
2017,3,Solid Waste,0.0,0
2017,3,T&D Losses,469.85,0
2018,1,Co-gen Plant,13135.54,1
2018,1,University Fleet,856.26,1
2018,1,Fertilizer,0.0,0
2018,1,Gas Heating,495.99,0
2018,2,Electricity,10142.23,1
2018,3,Commuting,1134.34,1
2018,3,Air Travel,9007.79,1
2018,3,FERA,1719.5,1
2018,3,Bus Travel,0.48,0
2018,3,Solid Waste,0.0,0
2018,3,T&D Losses,511.87,0
2019,1,Co-gen Plant,14102.79,1
2019,1,University Fleet,861.13,1
2019,1,Fertilizer,0.0,0
2019,1,Gas Heating,575.58,0
2019,2,Electricity,11028.42,1
2019,3,Commuting,1107.02,1
2019,3,Air Travel,8683.99,1
2019,3,FERA,1848.94,1
2019,3,Bus Travel,0.45,0
2019,3,Solid Waste,0.0,0
2019,3,T&D Losses,592.68,0
2020,1,Co-gen Plant,13180.35,1
2020,1,University Fleet,866.02,1
2020,1,Fertilizer,0.0,0
2020,1,Gas Heating,471.38,0
2020,2,Electricity,8999.79,1
2020,3,Commuting,1043.41,1
2020,3,Air Travel,13627.04,1
2020,3,FERA,1722.38,1
2020,3,Bus Travel,0.43,0
2020,3,Solid Waste,0.0,0
2020,3,T&D Losses,503.68,0
2021,1,Co-gen Plant,14170.67,1
2021,1,University Fleet,773.36,1
2021,1,Fertilizer,0.0,0
2021,1,Gas Heating,82.75,0
2021,2,Electricity,9110.2,1
2021,3,Commuting,3826.33,1
2021,3,Air Travel,2296.34,1
2021,3,FERA,1801.75,1
2021,3,Bus Travel,0.96,0
2021,3,Solid Waste,0.0,0
2021,3,T&D Losses,509.86,0
2022,1,Co-gen Plant,13826.74,1
2022,1,University Fleet,1150.84,1
2022,1,Fertilizer,0.0,0
2022,1,Gas Heating,70.59,0
2022,2,Electricity,9584.8,1
2022,3,Commuting,3920.82,1
2022,3,Air Travel,8638.53,1
2022,3,FERA,1758.02,1
2022,3,Bus Travel,1.49,0
2022,3,Solid Waste,0.0,0
2022,3,T&D Losses,536.42,0
2023,1,Co-gen Plant,13462.48,1
2023,1,University Fleet,1334.03,1
2023,1,Fertilizer,0.0,0
2023,1,Gas Heating,79.37,0
2023,2,Electricity,9670.69,1
2023,3,Commuting,3871.9,1
2023,3,Air Travel,12400.96,1
2023,3,FERA,1711.71,1
2023,3,Bus Travel,1.72,0
2023,3,Solid Waste,0.0,0
2023,3,T&D Losses,541.23,0
