Fiscal Year,Scope,Source,CO2 (kg),CO2 (MTCDE),CH4 (kg),CH4 (MTCDE),N2O (kg),N2O (MTCDE),GHG MTCDE
2010,1,Co-gen Electricity,"343,198",343.2,34,0.96,1,0.19,344.35
2010,1,Co-gen Steam,"15,377,185","15,377.18","1,537",43.04,32,8.45,"15,428.67"
2010,1,Other On-Campus Stationary,"158,674",158.67,25,0.71,2,0.4,159.78
2010,1,Direct Transportation,"1,121,661","1,121.66",62,1.74,62,16.38,"1,139.78"
2010,1,Fertilizer & Animals,0,0,0,0,210,55.66,55.66
2010,2,Purchased Electricity,"15,796,228","15,796.23",301,8.43,245,64.93,"15,869.59"
2010,3,Directly Financed Air Travel,"7,652,326","7,652.33",0,0,87,23.11,"7,675.43"
2010,3,Solid Waste,0,0,"66,687","1,867.24",0,0,"1,867.24"
2010,3,FERA,"2,010,452","2,010.45","154,366","4,322.25",21,5.5,"6,338.21"
2010,3,T&D Losses,"1,159,792","1,159.79",22,0.62,18,4.77,"1,165.18"
2011,1,Co-gen Electricity,"324,087",324.09,32,0.9,1,0.17,325.16
2011,1,Co-gen Steam,"15,660,776","15,660.78","1,556",43.57,31,8.29,"15,712.63"
2011,1,Other On-Campus Stationary,"99,537",99.54,15,0.43,1,0.25,100.22
2011,1,Direct Transportation,"1,323,600","1,323.60",59,1.64,55,14.57,"1,339.81"
2011,1,Fertilizer & Animals,0,0,0,0,167,44.27,44.27
2011,2,Purchased Electricity,"14,776,821","14,776.82",281,7.88,229,60.74,"14,845.45"
2011,3,Directly Financed Air Travel,"7,534,623","7,534.62",0,0,86,22.75,"7,557.37"
2011,3,Solid Waste,0,0,"69,601","1,948.83",0,0,"1,948.83"
2011,3,FERA,"2,042,669","2,042.67","158,564","4,439.78",21,5.65,"6,488.10"
2011,3,T&D Losses,"1,084,945","1,084.94",21,0.58,17,4.46,"1,089.98"
2012,1,Co-gen Electricity,"317,064",317.06,32,0.88,1,0.17,318.11
2012,1,Co-gen Steam,"14,641,733","14,641.73","1,456",40.76,29,7.75,"14,690.25"
2012,1,Other On-Campus Stationary,"115,417",115.42,18,0.5,1,0.29,116.2
2012,1,Direct Transportation,"1,354,110","1,354.11",54,1.52,47,12.45,"1,368.09"
2012,1,Fertilizer & Animals,0,0,0,0,167,44.27,44.27
2012,2,Purchased Electricity,"11,595,506","11,595.51",219,6.14,181,47.89,"11,649.54"
2012,3,Directly Financed Air Travel,"8,131,332","8,131.33",0,0,93,24.55,"8,155.88"
2012,3,Solid Waste,0,0,"107,770","3,017.55",0,0,"3,017.55"
2012,3,FERA,"1,916,401","1,916.40","148,488","4,157.66",20,5.29,"6,079.36"
2012,3,T&D Losses,"709,198",709.2,13,0.38,11,2.93,712.5
2013,1,Co-gen Electricity,"291,260",291.26,29,0.81,1,0.15,292.23
2013,1,Co-gen Steam,"14,493,367","14,493.37","1,442",40.38,29,7.68,"14,541.42"
2013,1,Other On-Campus Stationary,"147,779",147.78,24,0.66,1,0.38,148.82
2013,1,Direct Transportation,"1,293,272","1,293.27",51,1.44,44,11.79,"1,306.50"
2013,1,Fertilizer & Animals,0,0,0,0,190,50.45,50.45
2013,2,Purchased Electricity,"11,546,203","11,546.20",218,6.12,180,47.68,"11,600.00"
2013,3,Directly Financed Air Travel,"8,584,167","8,584.17",0,0,98,25.92,"8,610.09"
2013,3,Solid Waste,0,0,"107,770","3,017.55",0,0,"3,017.55"
2013,3,FERA,"1,892,461","1,892.46","146,861","4,112.09",20,5.24,"6,009.79"
2013,3,T&D Losses,"706,183",706.18,13,0.37,11,2.92,709.47
2014,1,Co-gen Electricity,"268,605",268.6,27,0.75,1,0.14,269.5
2014,1,Co-gen Steam,"13,315,527","13,315.53","1,326",37.12,27,7.06,"13,359.71"
2014,1,Other On-Campus Stationary,"625,195",625.2,92,2.57,6,1.46,629.22
2014,1,Direct Transportation,"1,145,818","1,145.82",39,1.08,39,10.2,"1,157.10"
2014,1,Fertilizer & Animals,0,0,0,0,191,50.7,50.7
2014,2,Purchased Electricity,"15,307,064","15,307.06","1,651",46.22,240,63.62,"15,416.90"
2014,3,Directly Financed Air Travel,"7,382,538","7,382.54",0,0,84,22.29,"7,404.83"
2014,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2014,3,FERA,"1,907,617","1,907.62","135,029","3,780.81",18,4.81,"5,693.24"
2014,3,T&D Losses,"770,096",770.1,83,2.33,12,3.2,775.62
2015,1,Co-gen Electricity,"255,104",255.1,25,0.71,1,0.14,255.95
2015,1,Co-gen Steam,"12,500,280","12,500.28","1,246",34.9,25,6.64,"12,541.81"
2015,1,Other On-Campus Stationary,"225,634",225.63,34,0.96,2,0.55,227.14
2015,1,Direct Transportation,"994,127",994.13,33,0.92,24,6.29,"1,001.33"
2015,1,Fertilizer & Animals,0,0,0,0,209,55.48,55.48
2015,2,Purchased Electricity,"15,035,664","15,035.66","1,621",45.4,236,62.49,"15,143.55"
2015,3,Faculty Commuting,"310,963",310.96,17,0.47,12,3.16,314.59
2015,3,Staff Commuting,"633,752",633.75,34,0.95,24,6.44,641.15
2015,3,Directly Financed Air Travel,"8,528,781","8,528.78",0,0,97,25.75,"8,554.53"
2015,3,Other Directly Financed Travel,288,0.29,0,0,0,0,0.29
2015,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2015,3,FERA,"1,671,645","1,671.65","126,967","3,555.07",17,4.53,"5,231.24"
2015,3,T&D Losses,"756,442",756.44,82,2.28,12,3.14,761.87
2016,1,Co-gen Electricity,"230,027",230.03,23,0.64,0,0.12,230.79
2016,1,Co-gen Steam,"12,167,103","12,167.10","1,213",33.97,24,6.46,"12,207.53"
2016,1,Other On-Campus Stationary,"70,433",70.43,11,0.31,1,0.18,70.93
2016,1,Direct Transportation,"816,106",816.11,30,0.85,20,5.32,822.27
2016,1,Fertilizer & Animals,0,0,0,0,91,24.15,24.15
2016,2,Purchased Electricity,"10,463,356","10,463.36",980,27.44,145,38.32,"10,529.12"
2016,3,Faculty Commuting,"305,885",305.89,17,0.47,11,2.87,309.22
2016,3,Staff Commuting,"664,133",664.13,36,1.02,24,6.23,671.38
2016,3,Directly Financed Air Travel,"8,132,155","8,132.16",0,0,93,24.55,"8,156.71"
2016,3,Other Directly Financed Travel,82,0.08,0,0,0,0,0.08
2016,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2016,3,FERA,"1,584,361","1,584.36","123,401","3,455.22",17,4.4,"5,043.98"
2016,3,T&D Losses,"462,149",462.15,43,1.21,6,1.69,465.05
2017,1,Co-gen Electricity,"208,836",208.84,21,0.58,0,0.11,209.53
2017,1,Co-gen Steam,"13,337,130","13,337.13","1,330",37.23,27,7.08,"13,381.44"
2017,1,Other On-Campus Stationary,"111,850",111.85,18,0.5,1,0.28,112.63
2017,1,Direct Transportation,"1,148,365","1,148.36",41,1.15,27,7.2,"1,156.71"
2017,1,Fertilizer & Animals,0,0,0,0,199,52.6,52.6
2017,2,Purchased Electricity,"10,637,645","10,637.64",996,27.9,147,38.96,"10,704.51"
2017,3,Faculty Commuting,"291,801",291.8,16,0.45,10,2.73,294.98
2017,3,Staff Commuting,"637,206",637.21,35,0.97,23,5.97,644.15
2017,3,Directly Financed Air Travel,"7,700,379","7,700.38",0,0,88,23.25,"7,723.63"
2017,3,Other Directly Financed Travel,325,0.33,0,0,0,0,0.33
2017,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2017,3,FERA,"1,735,852","1,735.85","134,836","3,775.41",18,4.81,"5,516.07"
2017,3,T&D Losses,"469,847",469.85,44,1.23,6,1.72,472.8
2018,1,Co-gen Electricity,"139,929",139.93,14,0.39,0,0.07,140.39
2018,1,Co-gen Steam,"12,995,613","12,995.61","1,296",36.28,26,6.9,"13,038.79"
2018,1,Other On-Campus Stationary,"495,985",495.99,57,1.59,2,0.49,498.07
2018,1,Direct Transportation,"856,263",856.26,35,0.99,23,6.14,863.39
2018,1,Fertilizer & Animals,0,0,42,1.17,34,9.03,10.19
2018,2,Purchased Electricity,"10,142,227","10,142.23","1,016",28.44,143,37.85,"10,208.52"
2018,3,Faculty Commuting,"322,992",322.99,18,0.49,11,3.03,326.51
2018,3,Staff Commuting,"811,345",811.35,44,1.24,29,7.6,820.19
2018,3,Directly Financed Air Travel,"9,007,794","9,007.79",0,0,103,27.31,"9,035.11"
2018,3,Other Directly Financed Travel,481,0.48,0,0,0,0,0.48
2018,3,Solid Waste,0,0,"103,279","2,891.82",0,0,"2,891.82"
2018,3,FERA,"1,719,504","1,719.50","134,616","3,769.24",18,4.8,"5,493.54"
2018,3,T&D Losses,"511,870",511.87,51,1.44,7,1.91,515.22
2019,1,Co-gen Electricity,"247,442",247.44,25,0.69,1,0.13,248.26
2019,1,Co-gen Steam,"13,855,348","13,855.35","1,381",38.68,28,7.36,"13,901.38"
2019,1,Other On-Campus Stationary,"575,575",575.58,67,1.87,2,0.6,578.04
2019,1,Direct Transportation,"861,126",861.13,33,0.94,22,5.85,867.91
2019,1,Fertilizer & Animals,0,0,40,1.13,21,5.55,6.68
2019,2,Purchased Electricity,"11,028,415","11,028.42","1,048",29.36,154,40.86,"11,098.63"
2019,3,Faculty Commuting,"318,274",318.27,17,0.49,11,2.98,321.75
2019,3,Staff Commuting,"788,748",788.75,43,1.21,28,7.4,797.35
2019,3,Directly Financed Air Travel,"8,683,991","8,683.99",0,0,101,26.64,"8,710.63"
2019,3,Other Directly Financed Travel,448,0.45,0,0,0,0,0.45
2019,3,Solid Waste,0,0,"20,682",579.08,0,0,579.08
2019,3,FERA,"1,848,944","1,848.94","144,749","4,052.98",19,5.16,"5,907.08"
2019,3,T&D Losses,"592,676",592.68,56,1.58,8,2.2,596.45
2020,1,Co-gen Electricity,"241,243",241.24,24,0.67,0,0.13,242.04
2020,1,Co-gen Steam,"12,939,114","12,939.11","1,290",36.12,26,6.87,"12,982.11"
2020,1,Other On-Campus Stationary,"471,381",471.38,54,1.52,2,0.48,473.37
2020,1,Direct Transportation,"866,023",866.02,37,1.04,24,6.47,873.53
2020,1,Fertilizer & Animals,0,0,40,1.13,32,8.37,9.49
2020,2,Purchased Electricity,"8,999,792","8,999.79",840,23.52,120,31.8,"9,055.11"
2020,3,Faculty Commuting,"271,129",271.13,15,0.41,10,2.54,274.09
2020,3,Staff Commuting,"772,283",772.28,42,1.18,27,7.24,780.71
2020,3,Directly Financed Air Travel,"13,627,043","13,627.04",0,0,79,20.97,"13,648.02"
2020,3,Other Directly Financed Travel,431,0.43,0,0,0,0,0.43
2020,3,Solid Waste,0,0,"13,469",377.13,0,0,377.13
2020,3,FERA,"1,722,377","1,722.38","134,840","3,775.53",18,4.81,"5,502.72"
2020,3,T&D Losses,"503,684",503.68,47,1.32,7,1.78,506.78
2021,1,Co-gen Electricity,"287,859",287.86,29,0.8,1,0.15,288.82
2021,1,Co-gen Steam,"13,882,815","13,882.81","1,384",38.76,28,7.37,"13,928.94"
2021,1,Other On-Campus Stationary,"82,750",82.75,14,0.39,1,0.22,83.36
2021,1,Direct Transportation,"773,361",773.36,33,0.92,21,5.68,779.96
2021,1,Fertilizer & Animals,0,0,40,1.12,15,3.89,5.01
2021,2,Purchased Electricity,"9,110,195","9,110.20",850,23.81,121,32.19,"9,166.19"
